dataset,arch,level,scale,single_tokens,cum_tokens,tokens_used,seed,method,accuracy,ece_percent,adaptive_ece_percent,brier,auroc
chartqa,m3,2,9,9,10,9,42,Naive Confidence (NC),7.000000000000001,73.35078974813223,73.35078974813223,0.6265012647551118,0.8719278033794163
chartqa,m3,2,9,9,10,9,42,Temperature Scaling (TS),7.000000000000001,47.17833572714588,46.860176341161456,0.2775832305806762,0.8719278033794163
chartqa,m3,2,9,9,10,9,42,Platt Scaling (1D),7.000000000000001,1.9978215501783085,2.991840447299883,0.049157075681145475,0.8719278033794163
chartqa,m3,2,9,9,10,10,42,Trajectory Platt (5D),7.000000000000001,2.333741826703772,2.7605229790788144,0.04891656863689002,0.8779761904761906
chartqa,m3,2,9,9,10,9,43,Naive Confidence (NC),7.000000000000001,73.3366558421403,73.33665584214032,0.6301123255415151,0.8955933179723503
chartqa,m3,2,9,9,10,9,43,Temperature Scaling (TS),7.000000000000001,47.510909995488255,47.03148774091549,0.2782605356229283,0.8955933179723503
chartqa,m3,2,9,9,10,9,43,Platt Scaling (1D),7.000000000000001,3.2360001462253276,2.815569531415173,0.04569098832023702,0.8955933179723503
chartqa,m3,2,9,9,10,10,43,Trajectory Platt (5D),7.000000000000001,3.571816955867689,2.7315523916040547,0.0458635892736954,0.8940092165898617
chartqa,m3,2,9,9,10,9,44,Naive Confidence (NC),7.000000000000001,73.54189729876816,73.54189729876815,0.6354230208869858,0.8125
chartqa,m3,2,9,9,10,9,44,Temperature Scaling (TS),7.000000000000001,46.93374455590232,46.772481687314,0.278715205585073,0.8125
chartqa,m3,2,9,9,10,9,44,Platt Scaling (1D),7.000000000000001,1.5064074279999469,3.4843385190270846,0.053401623717143056,0.8125
chartqa,m3,2,9,9,10,10,44,Trajectory Platt (5D),7.000000000000001,1.542979718884453,3.0696360289584854,0.0537166841630939,0.8093317972350229
chartqa,m3,2,9,9,10,9,45,Naive Confidence (NC),7.000000000000001,73.31197573430836,73.31197573430838,0.6342824026899385,0.8109639016897081
chartqa,m3,2,9,9,10,9,45,Temperature Scaling (TS),7.000000000000001,46.93444758729112,46.934447587291125,0.27922051950877247,0.8109639016897081
chartqa,m3,2,9,9,10,9,45,Platt Scaling (1D),7.000000000000001,1.9248085650182694,3.047205756357124,0.05051167837833823,0.8109639016897081
chartqa,m3,2,9,9,10,10,45,Trajectory Platt (5D),7.000000000000001,1.739487427985296,2.6022398408968006,0.05039744878638414,0.818836405529954
